source_pkg,source_pkg_go_version,source_pkg_origin,source_func,source_func_name,source_func_signature,target_pkg,target_pkg_go_version,target_pkg_origin,target_func,target_func_name,target_func_signature
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Common,Common,func() *golang.org/x/tools/go/ssa.CallCommon
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Common,Common,func() *golang.org/x/tools/go/ssa.CallCommon
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.CallCommon).IsInvoke,IsInvoke,func() bool
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Common,Common,func() *golang.org/x/tools/go/ssa.CallCommon
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Common,Common,func() *golang.org/x/tools/go/ssa.CallCommon
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",unknown,go1.25.0,stdlib,(golang.org/x/tools/go/ssa.Instruction).Operands,Operands,func(rands []*golang.org/x/tools/go/ssa.Value) []*golang.org/x/tools/go/ssa.Value
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Operands,Operands,func(rands []*golang.org/x/tools/go/ssa.Value) []*golang.org/x/tools/go/ssa.Value
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Common,Common,func() *golang.org/x/tools/go/ssa.CallCommon
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Common,Common,func() *golang.org/x/tools/go/ssa.CallCommon
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.CallCommon).IsInvoke,IsInvoke,func() bool
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Common,Common,func() *golang.org/x/tools/go/ssa.CallCommon
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.Call).Common,Common,func() *golang.org/x/tools/go/ssa.CallCommon
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error"
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",unknown,go1.25.0,stdlib,(golang.org/x/tools/go/ssa.Value).Referrers,Referrers,func() *[]golang.org/x/tools/go/ssa.Instruction
github.com/picatz/taint,go1.24.4,github.com,github.com/picatz/taint.walkSSA,walkSSA,"func(v golang.org/x/tools/go/ssa.Value, visit func(v golang.org/x/tools/go/ssa.Value) error, visited github.com/picatz/taint.valueSet) error",unknown,go1.25.0,stdlib,(golang.org/x/tools/go/ssa.Instruction).Operands,Operands,func(rands []*golang.org/x/tools/go/ssa.Value) []*golang.org/x/tools/go/ssa.Value
unknown,go1.25.0,stdlib,(*go/types.PkgName).Type,Type,func() go/types.Type,go/types,go1.25.0,stdlib,(*go/types.object).Type,Type,func() go/types.Type
unknown,go1.25.0,stdlib,(*net/url.Values).Get,Get,func(key string) string,net/url,go1.25.0,stdlib,(net/url.Values).Get,Get,func(key string) string
unknown,go1.25.0,stdlib,(*time.Time).Date,Date,"func() (year int, month time.Month, day int)",time,go1.25.0,stdlib,(time.Time).Date,Date,"func() (year int, month time.Month, day int)"
unknown,go1.25.0,stdlib,(*golang.org/x/tools/go/ssa.FieldAddr).setBlock,setBlock,func(block *golang.org/x/tools/go/ssa.BasicBlock),golang.org/x/tools/go/ssa,go1.23.0,golang.org,(*golang.org/x/tools/go/ssa.anInstruction).setBlock,setBlock,func(block *golang.org/x/tools/go/ssa.BasicBlock)
unknown,go1.25.0,stdlib,(*go/types.Const).cmp,cmp,func(b *go/types.object) int,go/types,go1.25.0,stdlib,(*go/types.object).cmp,cmp,func(b *go/types.object) int
unknown,go1.25.0,stdlib,(*go/types.Func).sameId,sameId,"func(pkg *go/types.Package, name string, foldCase bool) bool",go/types,go1.25.0,stdlib,(*go/types.object).sameId,sameId,"func(pkg *go/types.Package, name string, foldCase bool) bool"
unknown,go1.25.0,stdlib,(*go/types.TypeName).Pkg,Pkg,func() *go/types.Package,go/types,go1.25.0,stdlib,(*go/types.object).Pkg,Pkg,func() *go/types.Package
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).GetWidth,GetWidth,func() int,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).GetWidth,GetWidth,func() int
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).UnsetMaxHeight,UnsetMaxHeight,func() github.com/charmbracelet/lipgloss.Style,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).UnsetMaxHeight,UnsetMaxHeight,func() github.com/charmbracelet/lipgloss.Style
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).BorderRight,BorderRight,func(v bool) github.com/charmbracelet/lipgloss.Style,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).BorderRight,BorderRight,func(v bool) github.com/charmbracelet/lipgloss.Style
unknown,go1.25.0,stdlib,(*github.com/muesli/termenv.Style).Underline,Underline,func() github.com/muesli/termenv.Style,github.com/muesli/termenv,go1.17,github.com,(github.com/muesli/termenv.Style).Underline,Underline,func() github.com/muesli/termenv.Style
unknown,go1.25.0,stdlib,(*go/types.Checker).ObjectOf,ObjectOf,func(id *go/ast.Ident) go/types.Object,go/types,go1.25.0,stdlib,(*go/types.Info).ObjectOf,ObjectOf,func(id *go/ast.Ident) go/types.Object
unknown,go1.25.0,stdlib,(os.File).close,close,func() error,os,go1.25.0,stdlib,(*os.file).close,close,func() error
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).GetVerticalBorderSize,GetVerticalBorderSize,func() int,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).GetVerticalBorderSize,GetVerticalBorderSize,func() int
unknown,go1.25.0,stdlib,(*net/http.Header).Del,Del,func(key string),net/http,go1.25.0,stdlib,(net/http.Header).Del,Del,func(key string)
unknown,go1.25.0,stdlib,(*go/types.Label).Pkg,Pkg,func() *go/types.Package,go/types,go1.25.0,stdlib,(*go/types.object).Pkg,Pkg,func() *go/types.Package
unknown,go1.25.0,stdlib,(*github.com/charmbracelet/lipgloss.Style).GetBorderLeftSize,GetBorderLeftSize,func() int,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).GetBorderLeftSize,GetBorderLeftSize,func() int
unknown,go1.25.0,stdlib,(*go/constant.Kind).String,String,func() string,go/constant,go1.25.0,stdlib,(go/constant.Kind).String,String,func() string
github.com/picatz/taint/cmd/taint/example,go1.24.4,github.com,github.com/picatz/taint/cmd/taint/example.business,business,"func(db *database/sql.DB, q *string) error",github.com/picatz/taint/cmd/taint/example,go1.24.4,github.com,github.com/picatz/taint/cmd/taint/example.handle,handle,"func(db *database/sql.DB, q string)"
unknown,go1.25.0,stdlib,(*crypto.Hash).New,New,func() hash.Hash,crypto,go1.25.0,stdlib,(crypto.Hash).New,New,func() hash.Hash
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.makeRawTerminal,makeRawTerminal,"func() (*golang.org/x/term.Terminal, func(), error)"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,bufio,go1.25.0,stdlib,bufio.NewWriter,NewWriter,func(w io.Writer) *bufio.Writer
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).Render,Render,func(strs ...string) string
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).Render,Render,func(strs ...string) string
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,bufio,go1.25.0,stdlib,(*bufio.Writer).WriteString,WriteString,"func(s string) (int, error)"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,github.com/picatz/taint/cmd/taint,go1.24.4,github.com,(github.com/picatz/taint/cmd/taint.commands).help,help,func() string
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,bufio,go1.25.0,stdlib,(*bufio.Writer).WriteString,WriteString,"func(s string) (int, error)"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,bufio,go1.25.0,stdlib,(*bufio.Writer).Flush,Flush,func() error
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,bufio,go1.25.0,stdlib,(*bufio.Writer).WriteString,WriteString,"func(s string) (int, error)"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,github.com/charmbracelet/lipgloss,go1.18,github.com,(github.com/charmbracelet/lipgloss.Style).Render,Render,func(strs ...string) string
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,bufio,go1.25.0,stdlib,(*bufio.Writer).WriteString,WriteString,"func(s string) (int, error)"
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,bufio,go1.25.0,stdlib,(*bufio.Writer).Flush,Flush,func() error
github.com/picatz/taint/cmd/taint,go1.24.4,github.com,github.com/picatz/taint/cmd/taint.startShell,startShell,func(ctx context.Context) error,golang.org/x/term,go1.23.0,golang.org,(*golang.org/x/term.Terminal).ReadLine,ReadLine,"func() (line string, err error)"
